CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,MENAEMRORegion,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,AURECRegion1,AURECRegion2,AURECRegion3,AURECRegion4,AURECRegion5,AURECRegion6,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FragileCountries2022OECD1,FragileCountries2022OECD2,FCSCountries1,FCSCountries2,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SPhumanitarian,SPhighburden,JHUFragile2021,LiST_UNICEFProg,LiST_UNICEFRep,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9,EECA,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,SDGRCRegion16,SDGRCRegion17,SDGRCRegion18,SDGRCRegion19,SDGRCRegion20,SDGRCRegion21,SDGRCRegion22,SDGRCRegion23,SDGRCRegion24,SDGRCRegion25,SDGRCRegion26,SDGRCRegion27,SDGRCRegion28,SDGRCRegion29,SDGRCRegion30,SDGRCRegion31,SDGRCRegion32,SDGRCRegion33,UNICEFReportRegion
Lesotho,Lesotho,6,LSO,426,LES,Sub-Saharan Africa,Sub-Saharan Africa,South Africa,Least developed countries,"",LLDC,Eastern and Southern Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,"","","","",Countdown,Southern Africa,Africa,Southern Africa,"","","","",Southern African Development Community (SADC),"",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Fragile,Other fragile,non-FCS,"","",Africa,Southern Africa,"",Sub-Saharan Africa,"",Least developed countries,Landlocked developing countries,"","",Sub-Saharan Africa,Sub-Saharan Africa,Southern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),"","","",Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,African Group,"",GAVI,Non-humanitarian,Non-high burden,"",Eastern and Southern Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Southern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,"",ECA_SADC,"","",ECA_Land-locked countries,ECA_Land-locked LDCs,ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","",ECA_Southern Africa Customs Union (SACU),Eastern and Southern Africa
Lithuania,Lithuania,161,LTU,440,LIT,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Northern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Northern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Eastern European Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Luxembourg,Luxembourg,182,LUX,442,LUX,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Western Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Western Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Latvia,Latvia,160,LVA,428,LAT,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Northern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Northern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Eastern European Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Morocco,Morocco,59,MAR,504,MOR,Northern Africa,Northern Africa,North Africa,"","","",Middle East and North Africa,Programme countries,MENAEMRO,"",Eastern Mediterranean,"Middle East, North Africa, Afghanistan and Pakistan","Middle East, North Africa, Afghanistan and Pakistan (excluding high-income)",Middle income,Lower middle income,Low and middle income,Africa,"",Excluding least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,Countdown,North Africa,Africa,Northern Africa,Arab Maghreb Union (AMU),"",Community of Sahel-Saharan States (CEN-SAD),"","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Africa,Northern Africa,"",Northern Africa and Western Asia,Northern Africa,"","","","",Northern Africa and Western Asia,Northern Africa,Northern Africa,Northern Africa (exc. Sudan),"","","","","",Non conflict,Middle East and North Africa,"",Middle East and North Africa,"",Lower middle income,Low and middle income,Middle East and North Africa,"",Lower middle income,Low and middle income,African Group,"","",Non-humanitarian,Non-high burden,"",Middle East and North Africa,Middle East and North Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_North Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_AMU,"",ECA_CEN-SAD,"","","",ECA_Non-Oil Producing,"","","","","","","","",ESCWA_Arab countries,ESCWA_Maghreb subregion,ESCWA_Non-conflict middle income countries,ESCWA_Arab Middle-Income Countries (MICs),"",Middle East and North Africa
Monaco,Monaco,184,MCO,492,MON,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Western Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Western Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,"","","","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Moldova,Republic of Moldova,152,MDA,498,MOL,"","","","","",LLDC,Europe and Central Asia,Programme countries,"","",Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,"","","","","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Europe,Eastern Europe,"",Europe and Northern America,Europe,"",Landlocked developing countries,"Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Eastern Europe,"","",Landlocked developing countries (LLDCs),"","","",Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,"",GAVI,Non-humanitarian,Non-high burden,"",Europe and Central Asia,Eastern Europe and Central Asia,LiST,"",LiSTSBR,"","","","","","","","","",EECA,"",ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",ECE_CIS (CWG),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Eastern Europe and Central Asia
Madagascar,Madagascar,7,MDG,450,MAD,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Least developed countries,"","",Eastern and Southern Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,"","","","",Countdown,Eastern Africa,Africa,Eastern Africa,"",Common Market for Eastern and Southern Africa (COMESA),"","",Southern African Development Community (SADC),"",Non-fragile,Fragile,Fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,Fragile,Other fragile,non-FCS,"",USAID,Africa,Eastern Africa,"",Sub-Saharan Africa,"",Least developed countries,"","","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),"",HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,"",GAVI,Humanitarian,High burden,"",Eastern and Southern Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Eastern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,"",ECA_SADC,"",ECA_COMESA,ECA_Island economies,"",ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",Eastern and Southern Africa
Maldives,Maldives,70,MDV,462,MAL,Southern Asia,Southern Asia excluding India,"","","",SIDS,South Asia,Programme countries,"","",South-East Asia,South Asia,South Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,"",Excluding least developed countries,Excluding China,OIC,Asia/other,OIC Upper middle income,OIC Middle income,"","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Asia,Southern Asia,"",Central and Southern Asia,Southern Asia,"",Small island developing States,"","",Central and Southern Asia,Asia,Southern Asia,Southern Asia,"",Small island developing States (SIDS),"","","",Non conflict,South Asia,"",South Asia,"",Upper middle income,Low and middle income,South Asia,"",Upper middle income,Low and middle income,Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,"",South Asia,South Asia,LiST,LiSTSBR,LiSTSBR,"","","","","","","","","","","","","","","","",ESCAP_SAARC (SAARC),"","","",ESCAP_South and South-West Asia (SSWA),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,ESCAP_Small Islands Developing States,ESCAP_WB Upper Middle Income Economies,"","","","","",South Asia
Mexico,Mexico,125,MEX,484,MEX,Latin America and the Caribbean,Latin America and the Caribbean,"","",Latin America,"",Latin America and Caribbean,Programme countries,"","",Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,"","","","","",Latin America and the Caribbean,Latin America and the Caribbean,Central America,Latin America and the Caribbean,"","","","","",Non conflict,Latin America and Caribbean,"","","","","",Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),"","",Non-humanitarian,Non-high burden,"",Latin America and the Caribbean,Latin America and Caribbean,LiST,"",LiSTSBR,"","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Latin America,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Marshall Islands,Marshall Islands,78,MHL,584,MSI,Oceania,Oceania,"","","",SIDS,East Asia and Pacific,Programme countries,"","",Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Upper middle income,Low and middle income,Oceania,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Fragile,Fragile,Fragile,Fragile,Fragile,Non-fragile,"",Fragile,Non-fragile,"",Fragile and Conflict-affected Situation,Institutional and Social Fragility,"",Oceania,Micronesia,"",Oceania,Oceania (exc. Australia and New Zealand),"",Small island developing States,South-Eastern Asia and Oceania (exc. Australia and New Zealand),"",Oceania (exc. Australia and New Zealand),Oceania,Micronesia,Oceania,"",Small island developing States (SIDS),"","","",Non conflict,East Asia and Pacific,"","","","","",East Asia and Pacific,"",Upper middle income,Low and middle income,Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,Fragile,"","","","","",EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),"","","","","","","","",ESCAP_Pacific island developing economies (PIDE),"","","",ESCAP_PACIFIC (PAC),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,ESCAP_Small Islands Developing States,ESCAP_WB Upper Middle Income Economies,"","","","","",East Asia and Pacific
Macedonia,North Macedonia,151,MKD,807,MCD,"","","","","",LLDC,Europe and Central Asia,Programme countries,"","",Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,"","","","","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Europe,Southern Europe,"",Europe and Northern America,Europe,"",Landlocked developing countries,"Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Southern Europe,"","",Landlocked developing countries (LLDCs),"","","",Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,"","",Non-humanitarian,Non-high burden,"",Europe and Central Asia,Eastern Europe and Central Asia,LiST,"",LiSTSBR,"","","","","","","","","",EECA,"",ECE_All countries,"",ECE_West Balkans (ST7),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Eastern Europe and Central Asia
Mali,Mali,34,MLI,466,MLI,Sub-Saharan Africa,Sub-Saharan Africa,West Africa,Least developed countries,"",LLDC,West and Central Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,OIC,Africa,OIC Low income,"",Countdown,West Africa,Africa,Western Africa,"","",Community of Sahel-Saharan States (CEN-SAD),"",Economic Community of West African States (ECOWAS),"",Non-fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile,Other fragile,Fragile and Conflict-affected Situation,Conflict,USAID,Africa,Western Africa,"",Sub-Saharan Africa,"",Least developed countries,Landlocked developing countries,"","",Sub-Saharan Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),"","",Global Strategy,Conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,Humanitarian,High burden,Fragile,West and Central Africa,West and Central Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_West Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_ECOWAS,"",ECA_CEN-SAD,ECA_Sahel,ECA_Land-locked countries,ECA_Land-locked LDCs,ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",West and Central Africa
Malta,Malta,183,MLT,470,MLT,"","","","","","",Non-programme countries,"","","",Europe,"Middle East, North Africa, Afghanistan and Pakistan","",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Southern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Southern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Myanmar,Myanmar,84,MMR,104,BUR,South-eastern Asia,South-eastern Asia,"",Least developed countries,"","",East Asia and Pacific,Programme countries,"","",South-East Asia,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Lower middle income,Low and middle income,Asia,"",Least developed countries,Excluding China,"","","","",Countdown,"","","","","","","","","",Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile,Other fragile,Fragile and Conflict-affected Situation,Conflict,USAID,Asia,South-Eastern Asia,"",Eastern and South-Eastern Asia,South-Eastern Asia,Least developed countries,"",South-Eastern Asia and Oceania (exc. Australia and New Zealand),"",Eastern and South-Eastern Asia,Asia,South-Eastern Asia,South-Eastern Asia,Least Developed Countries (LDCs),"",HAC,HAC,Global Strategy,Conflict,East Asia and Pacific,"",East Asia and Pacific,"",Lower middle income,Low and middle income,East Asia and Pacific,"",Lower middle income,Low and middle income,Asia-Pacific Group,"",GAVI,Non-humanitarian,High burden,Fragile,East Asia and Pacific,East Asia and Pacific,LiST,LiSTSBR,LiSTSBR,EAPR Program Countries,EAPR Program Countries (excluding China),"","",EAPR Countries,EAPR Countries (excluding China),"","",ASEAN Countries,"","","","","","","",ESCAP_ASEAN (ASEAN),"",ESCAP_LDC (LDC_E),"",ESCAP_South-East Asia (SEA),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,"",ESCAP_WB Lower Middle Income Economies,"","","","","",East Asia and Pacific
Montenegro,Montenegro,156,MNE,499,YUGA,"","","","","","",Europe and Central Asia,Programme countries,"","",Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Europe,"","","","","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Europe,Southern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Southern Europe,"","","",HAC,HAC,"",Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,"","","","",Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,"","",Non-humanitarian,Non-high burden,"",Europe and Central Asia,Eastern Europe and Central Asia,LiST,"",LiSTSBR,"","","","","","","","","",EECA,"",ECE_All countries,"",ECE_West Balkans (ST7),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Eastern Europe and Central Asia
Mongolia,Mongolia,98,MNG,496,MGL,Eastern Asia,Eastern Asia excluding China,"","","",LLDC,East Asia and Pacific,Programme countries,"","",Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Asia,Eastern Asia,"",Eastern and South-Eastern Asia,Eastern Asia,"",Landlocked developing countries,"","",Eastern and South-Eastern Asia,Asia,Eastern Asia,Eastern Asia (excluding Japan),"",Landlocked developing countries (LLDCs),"","","",Non conflict,East Asia and Pacific,"",East Asia and Pacific,"",Upper middle income,Low and middle income,East Asia and Pacific,"",Upper middle income,Low and middle income,Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,"",East Asia and Pacific,East Asia and Pacific,LiST,LiSTSBR,LiSTSBR,EAPR Program Countries,EAPR Program Countries (excluding China),"","",EAPR Countries,EAPR Countries (excluding China),"","","","","","","","","","","","","",ESCAP_LLDC (LLDC_E),ESCAP_East and North-East Asia (ENEA),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,"",ESCAP_WB Upper Middle Income Economies,"","","","","",East Asia and Pacific
Mozambique,Mozambique,9,MOZ,508,MOZ,Sub-Saharan Africa,Sub-Saharan Africa,South Africa,Least developed countries,"","",Eastern and Southern Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,OIC,Africa,OIC Low income,"",Countdown,Southern Africa,Africa,Southern Africa,"","","","",Southern African Development Community (SADC),"",Non-fragile,Non-fragile,Non-fragile,Fragile,Fragile,Fragile,Other Fragile,Non-fragile,Fragile,Other fragile,Fragile and Conflict-affected Situation,Conflict,USAID,Africa,Eastern Africa,"",Sub-Saharan Africa,"",Least developed countries,"","","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),"",HAC,"",Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,"",GAVI,Non-humanitarian,High burden,Fragile,Eastern and Southern Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Southern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,"",ECA_SADC,"","","","",ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",Eastern and Southern Africa
Mauritania,Mauritania,35,MRT,478,MTA,Sub-Saharan Africa,Sub-Saharan Africa,North Africa,Least developed countries,"","",West and Central Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,OIC,Arab,OIC Low income,"",Countdown,North Africa,Africa,Northern Africa,Arab Maghreb Union (AMU),"",Community of Sahel-Saharan States (CEN-SAD),"","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,Fragile,Other fragile,non-FCS,"","",Africa,Western Africa,"",Sub-Saharan Africa,"",Least developed countries,"","","",Sub-Saharan Africa,Sub-Saharan Africa,Western Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),"",HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,"",GAVI,Non-humanitarian,High burden,"",West and Central Africa,West and Central Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_North Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_AMU,"",ECA_CEN-SAD,ECA_Sahel,"","",ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"","","","","",ESCWA_Arab countries,ESCWA_Arab LDCs subregion,"",ESCWA_Arab Middle-Income Countries (MICs),"",West and Central Africa
Montserrat,Montserrat,500,MSR,500,MSR,"","","","","","",Latin America and Caribbean,Programme countries,"","",Americas,"","","","","",Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","","","",Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"","",Small island developing States,"","",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"",Small island developing States (SIDS),"","","","",Latin America and Caribbean,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Carribean,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Mauritius,Mauritius,17,MUS,480,MTS,Sub-Saharan Africa,Sub-Saharan Africa,South Africa,"","",SIDS,Non-programme countries,"","","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Africa,Sub-Saharan Africa,Excluding least developed countries,Excluding China,"","","","","",Southern Africa,Africa,Eastern Africa,"",Common Market for Eastern and Southern Africa (COMESA),"","",Southern African Development Community (SADC),"",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Africa,Eastern Africa,"",Sub-Saharan Africa,"","",Small island developing States,"","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),"",Small island developing States (SIDS),"","","",Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,"","","","",Sub-Saharan Africa,Eastern and Southern Africa,Upper middle income,Low and middle income,African Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","",ECA_Southern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,"",ECA_SADC,"",ECA_COMESA,ECA_Island economies,ECA_Small Island states,ECA_Non-Oil Producing,"","","","",ECA_Sub-Saharan Africa,"","","","","","","","",Eastern and Southern Africa
